,UID,cloudProdID,productID,shortID,colorNum,title,subtitle,category,type,currency,fullPrice,currentPrice,sale,TopColor,channel,short_description,rating,customizable,ExtendedSizing,inStock,ComingSoon,BestSeller,Excluded,GiftCard,Jersey,Launch,MemberExclusive,NBA,NFL,Sustainable,label,prebuildId,prod_url,color-ID,color-Description,color-FullPrice,color-CurrentPrice,color-Discount,color-BestSeller,color-InStock,color-MemberExclusive,color-New,color-Label,color-Image-url
108,86cb7108-ecc9-561d-8919-7f59a757e3fc86cb7108-ecc9-561d-8919-7f59a757e3fc,86cb7108-ecc9-561d-8919-7f59a757e3fc,b832df9f-3fb3-4195-9b38-16c34d92698d,16c34d92698d,1,Nike Air Zoom Victory Tour 3 NRG,Men's Golf Shoes,golf,FOOTWEAR,USD,200,200.0,False,Phantom/Midwest Gold/Electric Algae/Gridiron,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","You ever daydream about Georgia in the spring? We do. With its peach-fuzz tones complementing a burlap sack-like base, this version is perfect for a long stroll through a warm, inviting Southern breeze. It offers robust comfort, unreal energy return and brand-new spikes, whether you’re swinging through or playing through en route to 36. Radiant brights and extra-juicy green goodness throughout remind you to keep it fresh, always.",0,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/air-zoom-victory-tour-3-nrg-mens-golf-shoes-pgZWf5/DV6799-007,86cb7108-ecc9-561d-8919-7f59a757e3fc,Phantom/Midwest Gold/Electric Algae/Gridiron,200,200.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/981a5584-2d0b-4632-baa7-4818e4a0cc3b/image.jpg"
109,d4dab8ae-97bb-5c1e-909f-d950d3482e47d4dab8ae-97bb-5c1e-909f-d950d3482e47,d4dab8ae-97bb-5c1e-909f-d950d3482e47,4236527d-2da4-42b8-8d2c-ba145217f2dd,ba145217f2dd,1,Nike Air Zoom Infinity Tour NEXT% NRG,Golf Shoes,golf,FOOTWEAR,USD,180,180.0,False,Topaz Gold/Phantom/Sea Coral/Gridiron,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","You ever daydream about Georgia in the spring? We do. With its peach-fuzz tones complementing a clean base, this version is perfect for a long stroll through a warm, inviting Southern breeze. Two large Zoom Air units, more room for your feet and enhanced traction help you through your round, while radiant brights and extra-juicy goodness throughout remind you to keep it fresh, always.",0,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/air-zoom-infinity-tour-next-nrg-golf-shoes-Qz3VFg/DV6801-701,d4dab8ae-97bb-5c1e-909f-d950d3482e47,Topaz Gold/Phantom/Sea Coral/Gridiron,180,180.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/be2a9357-465f-471f-8f41-2e42e88c61e6/image.jpg"
110,e0301497-14a3-56b7-a1b7-af91414bec98e0301497-14a3-56b7-a1b7-af91414bec98,e0301497-14a3-56b7-a1b7-af91414bec98,8efd6e03-1a5e-4f5d-9a6a-1cf653fd3a6d,1cf653fd3a6d,1,Nike Infinity Ace Next Nature NRG,Golf Shoes,golf,FOOTWEAR,USD,120,120.0,False,Phantom/Topaz Gold/Summit White/Gridiron,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","You ever daydream about Georgia in the spring? We do. With its peach-fuzz tones complementing a clean base and supersoft cushioning around sensitive areas, like the ankle and midfoot, this version is perfect for a long stroll through a warm, inviting Southern breeze. This shoe supports your individuality, the inner independence that allows you to go for the green when the book says go for a layup. Radiant brights and hints of extra-juicy green goodness throughout remind you to keep it fresh, always.",0,False,False,True,False,False,False,False,False,False,False,False,False,True,JUST_IN,,https://www.nike.com/t/infinity-ace-next-nature-nrg-golf-shoes-p010rD/DX7435-007,e0301497-14a3-56b7-a1b7-af91414bec98,Phantom/Topaz Gold/Summit White/Gridiron,120,120.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/a865c7b8-31f0-47e5-b977-ac47b0004f3b/image.jpg"
111,0fb6161e-7280-5a79-8617-74de70ef62180fb6161e-7280-5a79-8617-74de70ef6218,0fb6161e-7280-5a79-8617-74de70ef6218,b515dc31-4510-4c05-affb-7218955283e7,7218955283e7,1,Nike Air Max 1 '86 OG G NRG,Men's Golf Shoes,golf,FOOTWEAR,USD,170,170.0,False,Phantom/Topaz Gold/Midwest Gold/Gridiron,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","You ever daydream about Georgia in the spring? We do. With its peach-fuzz tones complementing a clean base, this version is perfect for a long stroll through a warm, inviting Southern breeze. Featuring the 4-window design that lets you peak at the Air unit underneath, this holy grail of heat is on-course cool, confidence and comfort personified. Radiant brights and hints of extra-juicy goodness throughout remind you to keep it fresh, always.",0,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/air-max-1-86-og-g-nrg-mens-golf-shoes-Hgntt1/DV6802-007,0fb6161e-7280-5a79-8617-74de70ef6218,Phantom/Topaz Gold/Midwest Gold/Gridiron,170,170.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/98abea03-f690-4a4d-bc81-99f39fc7a45d/image.jpg"
112,131c2ab8-a809-5709-a33f-c0720b0498c7131c2ab8-a809-5709-a33f-c0720b0498c7,131c2ab8-a809-5709-a33f-c0720b0498c7,53cac113-d8a0-496d-ae09-aa5636d7816d,aa5636d7816d,1,Jordan Retro 6 G NRG,Men's Golf Shoes,golf,FOOTWEAR,USD,220,220.0,False,White/Bordeaux/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Feel unbeatable from the tee box to the final putt in a design is pure early MJ: speed, class and laden with true early '90s touches like visible Air and a translucent plastic sole that continue to stand the test of time. This model fuses the strut of 1st MJ’s championship with some of our best golf technology, helping you make a statement of confidence when it comes time to tame the course. With its deep, rich red accents and creamy white tones this version celebrates MJ's favorite beverage, 1 that goes down smooth with a big plate of barbecue and a side of cobbler while basking in warmhearted hospitality.",0,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/jordan-retro-6-g-nrg-mens-golf-shoes-NGJ5Xs/DV6796-116,131c2ab8-a809-5709-a33f-c0720b0498c7,White/Bordeaux/White,220,220.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/81c57e35-2f71-467d-89df-3b73fc8c3608/image.jpg"
113,c99521fb-cdbb-5844-b6f5-3b18066da8c6c99521fb-cdbb-5844-b6f5-3b18066da8c6,c99521fb-cdbb-5844-b6f5-3b18066da8c6,9325572a-3fae-3860-8713-c9fe3c1e9b83,c9fe3c1e9b83,1,Nike Air Zoom Tiger Woods '20,Men's Golf Shoes,golf,FOOTWEAR,USD,150,150.0,False,White/Gym Red/Photon Dust/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","With its dress shoe-inspired design, the Nike Air Zoom Tiger Woods '20 brings a touch of class to the course. Revolutionary foam cushions every step and removable spikes deliver the grip you need to fully power through every shot.",4.5,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/air-zoom-tiger-woods-20-mens-golf-shoes-bbK6jF/CI4510-100,c99521fb-cdbb-5844-b6f5-3b18066da8c6,White/Gym Red/Photon Dust/Black,150,150.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/f67658e5-3cc0-41d1-adb8-143ba1d716bc/image.jpg"
114,c99521fb-cdbb-5844-b6f5-3b18066da8c6422b204b-7512-5699-bd21-d1e2d1f578e2,c99521fb-cdbb-5844-b6f5-3b18066da8c6,9325572a-3fae-3860-8713-c9fe3c1e9b83,c9fe3c1e9b83,2,Nike Air Zoom Tiger Woods '20,Men's Golf Shoes,golf,FOOTWEAR,USD,150,150.0,False,White/Gym Red/Photon Dust/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","With its dress shoe-inspired design, the Nike Air Zoom Tiger Woods '20 brings a touch of class to the course. Revolutionary foam cushions every step and removable spikes deliver the grip you need to fully power through every shot.",4.5,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/air-zoom-tiger-woods-20-mens-golf-shoes-bbK6jF/CI4510-100,422b204b-7512-5699-bd21-d1e2d1f578e2,Black/Gym Red/Off Noir/White,150,150.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/fc681602-0d3f-455b-9f5b-f277738bc6ea/image.jpg"
115,d9dabc78-3b42-5fa8-ad53-25ff9bfee585d9dabc78-3b42-5fa8-ad53-25ff9bfee585,d9dabc78-3b42-5fa8-ad53-25ff9bfee585,00e86bd0-3a3a-4b5e-8a7e-d405b878e768,d405b878e768,1,Air Jordan I High G,Men's Golf Shoes,golf,FOOTWEAR,USD,180,180.0,False,White/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Feel unbeatable, from the tee box to the final putt. Inspired by one of the most iconic sneakers of all time, the Air Jordan 1 G is an instant classic on the course. With Air cushioning underfoot, a Wings logo on the heel and an integrated traction pattern to help you power through your swing, it delivers all the clubhouse cool of the original AJ1—plus everything you need to play 18 holes in comfort.",4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/air-jordan-i-high-g-mens-golf-shoes-qBZNnM/DQ0660-101,d9dabc78-3b42-5fa8-ad53-25ff9bfee585,White/Black,180,180.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/913bcc8e-541d-4f42-9f34-eaacf1dfbb1b/image.jpg"
116,acafd216-6a3e-590e-b105-0359ad159ab4acafd216-6a3e-590e-b105-0359ad159ab4,acafd216-6a3e-590e-b105-0359ad159ab4,c9c42e3f-ffc6-40ce-8f47-126c9b1422ab,126c9b1422ab,1,Air Jordan 1 Low G,Golf Shoes,golf,FOOTWEAR,USD,140,140.0,False,White/Phantom/Volt/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Feel unbeatable, from the tee box to the final putt. Inspired by one of the most iconic sneakers of all time, the Air Jordan 1 G is an instant classic on the course. With Air cushioning underfoot, a Wings logo on the heel and an integrated traction pattern to help you power through your swing, it delivers all the clubhouse cool of the original AJ1—plus everything you need to play 18 holes in comfort.",4.8,False,False,False,True,True,False,False,False,False,False,False,False,False,COMING_SOON,,https://www.nike.com/t/air-jordan-1-low-g-golf-shoes-jChrQ3/DD9315-108,acafd216-6a3e-590e-b105-0359ad159ab4,White/Phantom/Volt/Black,140,140.0,False,True,False,False,True,COMING_SOON,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/38cb2658-b06e-4b09-839c-40847836a373/image.jpg"
117,acafd216-6a3e-590e-b105-0359ad159ab41a5d9064-0bfb-50b0-906b-d2ab85e18fd4,acafd216-6a3e-590e-b105-0359ad159ab4,c9c42e3f-ffc6-40ce-8f47-126c9b1422ab,126c9b1422ab,2,Air Jordan 1 Low G,Golf Shoes,golf,FOOTWEAR,USD,140,140.0,False,White/Phantom/Volt/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Feel unbeatable, from the tee box to the final putt. Inspired by one of the most iconic sneakers of all time, the Air Jordan 1 G is an instant classic on the course. With Air cushioning underfoot, a Wings logo on the heel and an integrated traction pattern to help you power through your swing, it delivers all the clubhouse cool of the original AJ1—plus everything you need to play 18 holes in comfort.",4.8,False,False,False,True,True,False,False,False,False,False,False,False,False,COMING_SOON,,https://www.nike.com/t/air-jordan-1-low-g-golf-shoes-jChrQ3/DD9315-108,1a5d9064-0bfb-50b0-906b-d2ab85e18fd4,White/Noble Green/Pollen/Black,140,140.0,False,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/1d2c7367-5894-43fe-acbf-a5adc7123b19/image.jpg"
118,acafd216-6a3e-590e-b105-0359ad159ab43e6edf15-ff89-5ded-9d37-c243957438b0,acafd216-6a3e-590e-b105-0359ad159ab4,c9c42e3f-ffc6-40ce-8f47-126c9b1422ab,126c9b1422ab,3,Air Jordan 1 Low G,Golf Shoes,golf,FOOTWEAR,USD,140,140.0,False,White/Phantom/Volt/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Feel unbeatable, from the tee box to the final putt. Inspired by one of the most iconic sneakers of all time, the Air Jordan 1 G is an instant classic on the course. With Air cushioning underfoot, a Wings logo on the heel and an integrated traction pattern to help you power through your swing, it delivers all the clubhouse cool of the original AJ1—plus everything you need to play 18 holes in comfort.",4.8,False,False,False,True,True,False,False,False,False,False,False,False,False,COMING_SOON,,https://www.nike.com/t/air-jordan-1-low-g-golf-shoes-jChrQ3/DD9315-108,3e6edf15-ff89-5ded-9d37-c243957438b0,White/Court Purple/University Red/Black,140,140.0,False,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/61147f08-e0fc-4dfb-8e46-24bdd0a474d2/image.jpg"
119,acafd216-6a3e-590e-b105-0359ad159ab474e8b3ae-f50b-57f9-8bea-cea44f710a90,acafd216-6a3e-590e-b105-0359ad159ab4,c9c42e3f-ffc6-40ce-8f47-126c9b1422ab,126c9b1422ab,4,Air Jordan 1 Low G,Golf Shoes,golf,FOOTWEAR,USD,140,140.0,False,White/Phantom/Volt/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Feel unbeatable, from the tee box to the final putt. Inspired by one of the most iconic sneakers of all time, the Air Jordan 1 G is an instant classic on the course. With Air cushioning underfoot, a Wings logo on the heel and an integrated traction pattern to help you power through your swing, it delivers all the clubhouse cool of the original AJ1—plus everything you need to play 18 holes in comfort.",4.8,False,False,False,True,True,False,False,False,False,False,False,False,False,COMING_SOON,,https://www.nike.com/t/air-jordan-1-low-g-golf-shoes-jChrQ3/DD9315-108,74e8b3ae-f50b-57f9-8bea-cea44f710a90,White/Midnight Navy/Black,140,140.0,False,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/e2df9f4a-87e9-4fe9-a14f-02e68e132a8a/image.jpg"
120,acafd216-6a3e-590e-b105-0359ad159ab45419dec2-10c6-53ea-9141-26e607e68164,acafd216-6a3e-590e-b105-0359ad159ab4,c9c42e3f-ffc6-40ce-8f47-126c9b1422ab,126c9b1422ab,5,Air Jordan 1 Low G,Golf Shoes,golf,FOOTWEAR,USD,140,140.0,False,White/Phantom/Volt/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Feel unbeatable, from the tee box to the final putt. Inspired by one of the most iconic sneakers of all time, the Air Jordan 1 G is an instant classic on the course. With Air cushioning underfoot, a Wings logo on the heel and an integrated traction pattern to help you power through your swing, it delivers all the clubhouse cool of the original AJ1—plus everything you need to play 18 holes in comfort.",4.8,False,False,False,True,True,False,False,False,False,False,False,False,False,COMING_SOON,,https://www.nike.com/t/air-jordan-1-low-g-golf-shoes-jChrQ3/DD9315-108,5419dec2-10c6-53ea-9141-26e607e68164,White/Pure Platinum/White,140,140.0,False,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/d0d53e03-b37f-461b-b45a-9046bf58d149/image.jpg"
121,acafd216-6a3e-590e-b105-0359ad159ab4a5079e06-b9b9-5811-a6f9-478d53619a5d,acafd216-6a3e-590e-b105-0359ad159ab4,c9c42e3f-ffc6-40ce-8f47-126c9b1422ab,126c9b1422ab,6,Air Jordan 1 Low G,Golf Shoes,golf,FOOTWEAR,USD,140,140.0,False,White/Phantom/Volt/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Feel unbeatable, from the tee box to the final putt. Inspired by one of the most iconic sneakers of all time, the Air Jordan 1 G is an instant classic on the course. With Air cushioning underfoot, a Wings logo on the heel and an integrated traction pattern to help you power through your swing, it delivers all the clubhouse cool of the original AJ1—plus everything you need to play 18 holes in comfort.",4.8,False,False,False,True,True,False,False,False,False,False,False,False,False,COMING_SOON,,https://www.nike.com/t/air-jordan-1-low-g-golf-shoes-jChrQ3/DD9315-108,a5079e06-b9b9-5811-a6f9-478d53619a5d,Black/Iron Grey/White/Black,140,140.0,False,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/c6a2da36-f178-4532-a125-787476c6654b/image.jpg"
